Dataset,Model,Type,4-shot-auc,8-shot-auc,16-shot-auc,32-shot-auc,64-shot-auc,128-shot-auc,256-shot-auc,512-shot-auc,4-shot-std,8-shot-std,16-shot-std,32-shot-std,64-shot-std,128-shot-std,256-shot-std,512-shot-std
Jungle,LightGBM,Raw,0.5,0.5,0.5,0.5,0.783,0.837,0.878,0.904,0,0,0,0,0.0245,0.017,0.00816,0.00766
Jungle,LightGBM,Ordered,0.5,0.5,0.5,0.5,0.783,0.837,0.878,0.904,0,0,0,0,0.0245,0.017,0.00816,0.00766
Jungle,LightGBM,Onehot,0.5,0.5,0.5,0.5,0.783,0.837,0.878,0.904,0,0,0,0,0.0245,0.017,0.00816,0.00766
Jungle,LR,Raw,0.631,0.654,0.71,0.745,0.778,0.792,0.801,0.805,0.0842,0.0853,0.0617,0.0396,0.0198,0.0112,0.00506,0.00297
Jungle,LR,Ordered,0.631,0.654,0.71,0.745,0.778,0.792,0.801,0.805,0.0842,0.0853,0.0617,0.0396,0.0198,0.0112,0.00506,0.00297
Jungle,LR,Onehot,0.631,0.654,0.71,0.745,0.778,0.792,0.801,0.805,0.0842,0.0853,0.0617,0.0396,0.0198,0.0112,0.00506,0.00297
Jungle,LR,Biased,0.747,0.749,0.763,0.772,0.784,0.79,0.798,0.802,0.018,0.0223,0.0197,0.0164,0.0123,0.00918,0.0057,0.00367
Jungle,LR,Monotonic,0.719,0.729,0.76,0.779,0.81,0.819,0.841,0.842,0.062,0.0496,0.0319,0.0304,0.0184,0.00794,0.00492,0.00382
Jungle,TabPFN,Raw,0.628,0.642,0.714,0.754,0.802,0.832,0.864,0.902,0.077,0.0828,0.0472,0.0421,0.0191,0.0107,0.0105,0.00587
Jungle,TabPFN,Ordered,0.628,0.642,0.714,0.754,0.802,0.832,0.864,0.902,0.077,0.0828,0.0472,0.0421,0.0191,0.0107,0.0105,0.00587
Jungle,TabPFN,Onehot,0.628,0.642,0.714,0.754,0.802,0.832,0.864,0.902,0.077,0.0828,0.0472,0.0421,0.0191,0.0107,0.0105,0.00587
Jungle,TabLLM,As-is,0.64,0.64,0.65,0.71,0.78,0.81,0.84,0.89,0.01,0.02,0.03,0.02,0.02,0.02,0.01,0.01
Car,XGBoost,Raw,0.5,0.592,0.693,0.808,0.892,0.945,0.974,,0,0.0483,0.0604,0.0447,0.0212,0.0119,0.00696,
Car,XGBoost,Ordered,0.5,0.593,0.684,0.811,0.906,0.95,0.975,,0,0.0521,0.0588,0.0498,0.021,0.0127,0.0065,
Car,XGBoost,Onehot,0.5,0.626,0.72,0.836,0.909,0.95,0.975,,0,0.0499,0.053,0.0416,0.0207,0.01,0.00634,
Car,LightGBM,Raw,0.5,0.5,0.5,0.5,0.765,0.901,0.979,,0,0,0,0,0.0352,0.0289,0.00547,
Car,LightGBM,Ordered,0.5,0.5,0.5,0.5,0.68,0.872,0.98,,0,0,0,0,0.0355,0.0507,0.00486,
Car,LightGBM,Onehot,0.5,0.5,0.5,0.5,0.837,0.916,0.976,,0,0,0,0,0.0386,0.0231,0.00551,
Car,LR,Raw,0.612,0.641,0.676,0.708,0.725,0.752,0.761,,0.0435,0.046,0.0407,0.0325,0.0276,0.0161,0.0214,
Car,LR,Ordered,0.63,0.676,0.723,0.792,0.823,0.857,0.871,,0.0508,0.0505,0.0426,0.0364,0.0287,0.0137,0.0161,
Car,LR,Onehot,0.65,0.709,0.777,0.847,0.914,0.95,0.972,,0.034,0.0359,0.0314,0.0327,0.017,0.0125,0.00593,
Car,TabPFN,Raw,0.604,0.636,0.704,0.774,0.847,0.932,0.974,,0.0397,0.0614,0.0316,0.0364,0.0307,0.0112,0.00864,
Car,TabPFN,Ordered,0.625,0.719,0.82,0.881,0.938,0.971,0.989,,0.0612,0.0744,0.0433,0.0215,0.0153,0.00784,0.00298,
Car,TabPFN,Onehot,0.67,0.733,0.822,0.941,0.972,0.984,0.994,,0.0442,0.0518,0.0383,0.016,0.00981,0.00556,0.00264,
Car,TabLLM,As-is,0.83,0.85,0.86,0.91,0.96,0.98,0.99,1,0.03,0.03,0.03,0.02,0.02,0.01,0,0
Diabetes,XGBoost,Raw,0.5,0.599,0.706,0.739,0.772,0.794,0.811,0.828,0,0.0992,0.067,0.0447,0.0292,0.0193,0.0166,0.0577
Diabetes,XGBoost,Ordered,0.5,0.599,0.706,0.739,0.772,0.794,0.811,0.828,0,0.0992,0.067,0.0447,0.0292,0.0193,0.0166,0.0577
Diabetes,XGBoost,Onehot,0.5,0.599,0.706,0.739,0.772,0.794,0.811,0.828,0,0.0992,0.067,0.0447,0.0292,0.0193,0.0166,0.0577
Diabetes,LightGBM,Raw,0.5,0.5,0.5,0.5,0.777,0.801,0.826,0.83,0,0,0,0,0.0187,0.0183,0.0131,0.0574
Diabetes,LightGBM,Ordered,0.5,0.5,0.5,0.5,0.777,0.801,0.826,0.83,0,0,0,0,0.0187,0.0183,0.0131,0.0574
Diabetes,LightGBM,Onehot,0.5,0.5,0.5,0.5,0.777,0.801,0.826,0.83,0,0,0,0,0.0187,0.0183,0.0131,0.0574
Diabetes,LR,Raw,0.654,0.678,0.727,0.77,0.798,0.813,0.827,0.83,0.113,0.103,0.0667,0.0466,0.0188,0.0151,0.0143,0.0568
Diabetes,LR,Ordered,0.654,0.678,0.727,0.77,0.798,0.813,0.827,0.83,0.113,0.103,0.0667,0.0466,0.0188,0.0151,0.0143,0.0568
Diabetes,LR,Onehot,0.654,0.678,0.727,0.77,0.798,0.813,0.827,0.83,0.113,0.103,0.0667,0.0466,0.0188,0.0151,0.0143,0.0568
Diabetes,LR,Biased,0.795,0.794,0.801,0.804,0.808,0.817,0.825,0.836,0.00962,0.0109,0.0143,0.0113,0.00989,0.00944,0.0138,0.0519
Diabetes,LR,Monotonic,0.771,0.764,0.773,0.79,0.809,0.819,0.833,0.84,0.0275,0.0315,0.0369,0.0213,0.0162,0.0102,0.0156,0.0528
Diabetes,TabPFN,Raw,0.678,0.681,0.68,0.764,0.8,0.805,0.839,0.857,0.0656,0.129,0.107,0.0468,0.0204,0.0253,0.017,0.0585
Diabetes,TabPFN,Ordered,0.678,0.681,0.68,0.764,0.8,0.805,0.839,0.857,0.0656,0.129,0.107,0.0468,0.0204,0.0253,0.017,0.0585
Diabetes,TabPFN,Onehot,0.678,0.681,0.68,0.764,0.8,0.805,0.839,0.857,0.0656,0.129,0.107,0.0468,0.0204,0.0253,0.017,0.0585
Diabetes,TabLLM,As-is,0.61,0.63,0.69,0.68,0.73,0.79,0.78,0.78,0.09,0.08,0.07,0.04,0.03,0.04,0.02,0.04
